Date,GDP Growth,Real Median Family Income,Inflation Rate,Unemployment Rate,Interest Rate,Value of Dow
1954-01-01,-1.9,35650,1.1,4.9,2.0,286.64
1954-04-01,0.4,35415,0.8,5.9,1.63,310.92
1954-07-01,4.6,35180,0.4,5.8,1.5,341.27
1954-10-01,8.1,34945,-0.7,5.7,1.5,358.29
1955-01-01,11.9,34710,-0.7,4.9,1.5,398.43
1955-04-01,6.7,35273,-0.4,4.7,1.63,422.99
1955-07-01,5.5,35837,-0.4,4.0,1.75,462.16
1955-10-01,2.4,36400,0.4,4.3,2.25,452.65
1956-01-01,-1.5,36964,0.4,4.0,2.5,474.75
1956-04-01,3.3,37568,0.7,4.0,2.65,511.04
1956-07-01,-0.4,38172,2.2,4.4,2.75,509.76
1956-10-01,6.7,38776,2.2,3.9,3.0,483.8
1957-01-01,2.6,39380,3.0,4.2,3.0,485.9
1957-04-01,-0.9,39438,3.7,3.9,3.0,485.42
1957-07-01,4.0,39496,3.3,4.2,3.0,514.64
1957-10-01,-4.1,39554,2.9,4.5,3.5,443.38
1958-01-01,-10.0,39612,3.6,5.8,2.94,445.68
1958-04-01,2.7,39581,3.6,7.4,2.03,446.9
1958-07-01,9.6,39551,2.5,7.5,1.75,488.27
1958-10-01,9.7,39520,2.1,6.7,2.0,539.85
1959-01-01,7.9,39490,1.4,6.0,2.5,592.29
1959-04-01,9.3,40044,0.3,5.2,3.0,616.99
1959-07-01,0.3,40599,0.7,5.1,3.5,662.81
1959-10-01,1.1,41153,1.7,5.7,4.0,637.34
1960-01-01,9.3,41708,1.0,5.2,4.0,665.39
1960-04-01,-2.1,41924,1.7,5.2,4.0,619.98
1960-07-01,2.0,42141,1.4,5.5,3.5,625.83
1960-10-01,-5.0,42357,1.4,6.1,3.0,582.45
1961-01-01,2.7,42574,1.7,6.6,3.0,632.2
1961-04-01,7.0,42683,1.0,7.0,3.0,684.9
1961-07-01,7.9,42793,1.4,7.0,3.0,690.66
1961-10-01,8.1,42902,0.7,6.5,3.0,703.01
1962-01-01,7.3,43012,0.7,5.8,3.0,705.16
1962-04-01,3.7,43316,1.3,5.6,3.0,690.28
1962-07-01,5.0,43620,1.0,5.4,3.0,581.78
1962-10-01,1.3,43924,1.3,5.4,3.0,580.65
1963-01-01,4.4,44229,1.3,5.7,3.0,672.1
1963-04-01,4.6,44615,1.0,5.7,3.0,707.12
1963-07-01,9.1,45001,1.3,5.6,3.24,700.75
1963-10-01,2.6,45387,1.3,5.5,3.5,747.52
1964-01-01,8.7,45773,1.6,5.6,3.5,776.62
1964-04-01,4.4,46197,1.3,5.3,3.5,820.94
1964-07-01,6.4,46622,1.3,4.9,3.5,844.24
1964-10-01,1.2,47046,1.0,5.1,3.5,875.26
1965-01-01,10.0,47471,1.0,4.9,4.0,889.89
1965-04-01,5.1,47981,1.6,4.8,4.0,907.71
1965-07-01,9.2,48492,1.6,4.4,4.0,873.43
1965-10-01,9.5,49003,1.9,4.2,4.0,944.77
1966-01-01,10.1,49514,1.9,4.0,4.5,985.93
1966-04-01,1.4,50167,2.9,3.8,4.5,943.7
1966-07-01,3.4,50821,2.8,3.8,4.5,875.87
1966-10-01,3.3,51475,3.8,3.7,4.5,778.1
1967-01-01,3.6,52129,3.5,3.9,4.5,830.56
1967-04-01,0.2,52406,2.5,3.8,4.1,868.66
1967-07-01,3.8,52684,2.8,3.8,4.0,888.51
1967-10-01,3.0,52962,2.4,4.0,4.0,907.54
1968-01-01,8.4,53240,3.6,3.7,4.5,884.77
1968-04-01,6.9,53866,3.9,3.5,5.2,893.37
1968-07-01,3.1,54492,4.5,3.7,5.5,905.32
1968-10-01,1.6,55118,4.7,3.4,5.25,955.47
1969-01-01,6.4,55745,4.4,3.4,5.5,946.05
1969-04-01,1.2,56388,5.5,3.4,5.95,950.18
1969-07-01,2.7,57031,5.4,3.5,6.0,815.47
1969-10-01,-1.9,57674,5.7,3.7,6.0,855.99
1970-01-01,-0.6,58317,6.2,3.9,6.0,744.06
1970-04-01,0.6,58272,6.1,4.6,6.0,736.07
1970-07-01,3.7,58227,6.0,5.0,6.0,734.12
1970-10-01,-4.2,58182,5.6,5.5,6.0,755.61
1971-01-01,11.3,58137,5.3,5.9,5.23,830.57
1971-04-01,2.2,58116,4.2,5.9,4.75,903.88
1971-07-01,3.3,58096,4.4,6.0,4.88,893.03
1971-10-01,0.9,58076,3.8,5.8,5.0,893.98
1972-01-01,7.6,58056,3.3,5.8,4.5,889.3
1972-04-01,9.4,58772,3.5,5.7,4.5,940.92
1972-07-01,3.8,59488,2.9,5.6,4.5,928.66
1972-10-01,6.9,60204,3.4,5.6,4.5,953.27
1973-01-01,10.3,60920,3.6,4.9,4.77,1031.68
1973-04-01,4.4,61228,5.1,5.0,5.5,936.18
1973-07-01,-2.1,61536,5.7,4.8,6.98,880.57
1973-10-01,3.8,61844,7.8,4.6,7.5,948.83
1974-01-01,-3.4,62153,9.4,5.1,7.5,855.32
1974-04-01,1.0,61738,10.1,5.1,7.6,843.48
1974-07-01,-3.7,61323,11.5,5.5,8.0,806.24
1974-10-01,-1.5,60908,12.1,6.0,8.0,604.82
1975-01-01,-4.8,60493,11.8,8.1,7.4,632.04
1975-04-01,2.9,60229,10.2,8.8,6.25,761.58
1975-07-01,7.0,59965,9.7,8.6,6.0,877.42
1975-10-01,5.5,59701,7.4,8.4,6.0,784.16
1976-01-01,9.3,59438,6.7,7.9,5.79,858.71
1976-04-01,3.0,59898,6.0,7.7,5.5,994.1
1976-07-01,2.2,60359,5.4,7.8,5.5,994.84
1976-10-01,2.9,60820,5.5,7.7,5.5,979.89
1977-01-01,4.8,61281,5.2,7.5,5.25,999.75
1977-04-01,8.0,61384,7.0,7.2,5.25,927.36
1977-07-01,7.4,61487,6.8,6.9,5.25,912.65
1977-10-01,0.0,61590,6.4,6.8,5.8,851.96
1978-01-01,1.3,61693,6.8,6.4,6.37,817.74
1978-04-01,16.4,62173,6.5,6.1,6.5,751.04
1978-07-01,4.1,62654,7.7,6.2,7.23,812.88
1978-10-01,5.5,63135,8.9,5.8,8.26,865.81
1979-01-01,0.7,63616,9.3,5.9,9.5,811.41
1979-04-01,0.4,63841,10.5,5.8,9.5,855.24
1979-07-01,3.0,64067,11.3,5.7,9.69,834.04
1979-10-01,1.0,64293,12.1,6.0,11.77,872.95
1980-01-01,1.3,64519,13.9,6.3,12.0,824.56
1980-04-01,-8.0,63958,14.7,6.9,13.0,784.47
1980-07-01,-0.5,63397,13.1,7.8,10.87,872.27
1980-10-01,7.7,62836,12.8,7.5,11.0,939.42
1981-01-01,8.1,62275,11.8,7.5,13.0,972.78
1981-04-01,-2.9,61855,10.0,7.2,13.0,1014.13
1981-07-01,4.9,61436,10.8,7.2,14.0,967.65
1981-10-01,-4.3,61016,10.1,7.9,14.0,852.26
1982-01-01,-6.1,60597,8.4,8.6,12.0,882.51
1982-04-01,1.8,60401,6.5,9.3,12.0,833.23
1982-07-01,-1.5,60205,6.4,9.8,11.81,803.26
1982-10-01,0.2,60009,5.1,10.4,9.68,907.74
1983-01-01,5.4,59814,3.7,10.4,8.5,1027.04
1983-04-01,9.4,59903,3.9,10.2,8.5,1127.61
1983-07-01,8.2,59992,2.5,9.4,8.5,1225.26
1983-10-01,8.6,60081,2.9,8.8,8.5,1231.29
1984-01-01,8.1,60171,4.2,8.0,8.5,1252.74
1984-04-01,7.1,60658,4.6,7.7,8.87,1153.16
1984-07-01,3.9,61146,4.2,7.5,9.0,1130.07
1984-10-01,3.3,61634,4.3,7.4,9.0,1198.98
1985-01-01,3.9,62122,3.5,7.3,8.0,1198.87
1985-04-01,3.6,62346,3.7,7.3,8.0,1272.74
1985-07-01,6.2,62570,3.6,7.4,7.5,1337.14
1985-10-01,3.0,62794,3.2,7.1,7.5,1340.94
1986-01-01,3.8,63019,3.9,6.7,7.5,1537.73
1986-04-01,1.8,63710,1.6,7.1,6.83,1790.11
1986-07-01,3.9,64401,1.6,7.0,6.16,1903.54
1986-10-01,2.2,65092,1.5,7.0,5.5,1782.9
1987-01-01,3.0,65783,1.5,6.6,5.5,1927.31
1987-04-01,4.4,66052,3.8,6.3,5.5,2316.05
1987-07-01,3.5,66321,3.9,6.1,5.5,2409.76
1987-10-01,7.0,66590,4.5,6.0,6.0,2639.2
1988-01-01,2.1,66859,4.0,5.7,6.0,2015.25
1988-04-01,5.4,66912,3.9,5.4,6.0,1980.6
1988-07-01,2.4,66965,4.1,5.4,6.0,2131.58
1988-10-01,5.4,67018,4.2,5.4,6.5,2105.26
1989-01-01,4.1,67072,4.7,5.4,6.5,2144.64
1989-04-01,3.1,67378,5.1,5.2,7.0,2304.8
1989-07-01,3.0,67685,5.0,5.2,7.0,2452.77
1989-10-01,0.8,67992,4.5,5.3,7.0,2713.72
1990-01-01,4.4,68299,5.2,5.4,7.0,2810.15
1990-04-01,1.5,68038,4.7,5.4,7.0,2700.45
1990-07-01,0.3,67778,4.8,5.5,7.0,2899.26
1990-10-01,-3.6,67518,6.3,5.9,7.0,2515.84
1991-01-01,-1.9,67258,5.7,6.4,6.5,2610.64
1991-04-01,3.2,66936,4.9,6.7,5.98,2881.19
1991-07-01,2.0,66615,4.4,6.8,5.5,2958.41
1991-10-01,1.4,66294,2.9,7.0,5.0,3018.34
1992-01-01,4.9,65973,2.6,7.3,3.5,3172.41
1992-04-01,4.4,65856,3.2,7.4,3.5,3249.33
1992-07-01,4.0,65740,3.2,7.7,3.02,3354.1
1992-10-01,4.2,65624,3.2,7.3,3.0,3254.37
1993-01-01,0.7,65508,3.3,7.3,3.0,3309.22
1993-04-01,2.3,65273,3.2,7.1,3.0,3439.44
1993-07-01,1.9,65039,2.8,6.9,3.0,3510.54
1993-10-01,5.6,64805,2.8,6.8,3.0,3581.11
1994-01-01,3.9,64571,2.5,6.6,3.0,3756.6
1994-04-01,5.5,65020,2.4,6.4,3.0,3593.35
1994-07-01,2.4,65470,2.8,6.1,3.5,3646.65
1994-10-01,4.7,65920,2.6,5.8,4.0,3846.89
1995-01-01,1.4,66370,2.8,5.6,4.75,3838.48
1995-04-01,1.2,66743,3.1,5.8,5.25,4168.41
1995-07-01,3.5,67117,2.8,5.7,5.25,4585.15
1995-10-01,2.7,67491,2.8,5.5,5.25,4761.26
1996-01-01,3.0,67865,2.7,5.6,5.24,5177.45
1996-04-01,6.8,68112,2.9,5.6,5.0,5637.72
1996-07-01,3.6,68359,3.0,5.5,5.0,5729.98
1996-10-01,4.2,68606,3.0,5.2,5.0,5904.9
1997-01-01,2.6,68854,3.0,5.3,5.0,6442.49
1997-04-01,6.8,69393,2.5,5.1,5.0,6611.05
1997-07-01,5.1,69932,2.2,4.9,5.0,7722.33
1997-10-01,3.5,70471,2.1,4.7,5.0,8015.5
1998-01-01,4.1,71011,1.6,4.6,5.0,7965.04
1998-04-01,3.8,71626,1.4,4.3,5.0,8868.32
1998-07-01,5.1,72241,1.7,4.5,5.0,9048.67
1998-10-01,6.6,72856,1.5,4.5,4.86,7632.53
1999-01-01,3.8,73472,1.7,4.3,4.5,9184.27
1999-04-01,3.1,73894,2.3,4.3,4.5,9832.51
1999-07-01,5.3,74317,2.1,4.3,4.5,11066.42
1999-10-01,7.0,74740,2.6,4.1,4.75,10273.0
2000-01-01,1.5,75163,2.7,4.0,5.0,11357.51
2000-04-01,7.5,75253,3.1,3.8,5.5,11221.93
2000-07-01,0.5,75344,3.7,4.0,6.0,10560.67
2000-10-01,2.5,75435,3.4,3.9,6.0,10700.13
2001-01-01,-1.1,75526,3.7,4.2,5.52,10646.15
2001-04-01,2.4,75247,3.3,4.4,4.28,9777.93
2001-07-01,-1.7,74969,2.7,4.6,3.25,10593.72
2001-10-01,1.1,74691,2.1,5.3,2.02,8836.83
2002-01-01,3.5,74413,1.1,5.7,1.25,10073.4
2002-04-01,2.4,74221,1.6,5.9,1.25,10362.7
2002-07-01,1.8,74030,1.5,5.8,1.25,9109.79
2002-10-01,0.6,73838,2.0,5.7,1.25,7938.79
2003-01-01,2.2,73647,2.6,5.8,2.25,8607.52
2003-04-01,3.5,73586,2.2,6.0,2.25,8069.86
2003-07-01,7.0,73526,2.1,6.2,2.0,9040.95
2003-10-01,4.7,73465,2.0,6.0,2.0,9469.2
2004-01-01,2.2,73405,1.9,5.7,2.0,10409.85
2004-04-01,3.1,73390,2.3,5.6,2.0,10373.33
2004-07-01,3.8,73376,3.0,5.5,2.25,10334.16
2004-10-01,4.1,73362,3.2,5.5,2.75,10192.65
2005-01-01,4.5,73348,3.0,5.3,3.25,10729.43
2005-04-01,1.9,73447,3.5,5.2,3.75,10404.3
2005-07-01,3.6,73546,3.2,5.0,4.25,10303.44
2005-10-01,2.6,73645,4.3,5.0,4.75,10535.48
2006-01-01,5.4,73744,4.0,4.7,5.5,10847.41
2006-04-01,0.9,73868,3.5,4.7,5.75,11144.94
2006-07-01,0.6,73992,4.1,4.7,6.25,11228.02
2006-10-01,3.5,74116,1.3,4.4,6.25,11670.35
2007-01-01,0.9,74241,2.1,4.6,6.25,12474.52
2007-04-01,2.3,74640,2.6,4.5,6.25,12382.3
2007-07-01,2.2,75039,2.4,4.7,6.25,13535.43
2007-10-01,2.5,75438,3.5,4.7,5.0,14087.55
2008-01-01,-2.3,75838,4.3,5.0,3.5,13043.96
2008-04-01,2.1,75186,3.9,5.0,2.25,12654.36
2008-07-01,-2.1,74534,5.6,5.8,2.25,11382.26
2008-10-01,-8.4,73882,3.7,6.5,1.25,10831.07
2009-01-01,-4.4,73230,0.0,7.8,0.5,9034.69
2009-04-01,-0.6,72866,-0.7,9.0,0.5,7761.6
2009-07-01,1.5,72502,-2.1,9.5,0.5,8504.06
2009-10-01,4.5,72138,-0.2,10.0,0.5,9509.28
2010-01-01,1.5,71774,2.6,9.8,0.5,10583.96
2010-04-01,3.7,71526,2.2,9.9,0.75,10927.07
2010-07-01,3.0,71278,1.2,9.4,0.75,9732.53
2010-10-01,2.0,71030,1.2,9.4,0.75,10829.68
2011-01-01,-1.0,70783,1.6,9.1,0.75,11670.75
2011-04-01,2.9,70452,3.2,9.1,0.75,12376.72
2011-07-01,-0.1,70122,3.6,9.0,0.75,12582.77
2011-10-01,4.7,69791,3.5,8.8,0.75,10655.3
2012-01-01,3.2,69461,2.9,8.3,0.75,12397.38
2012-04-01,1.7,69454,2.3,8.2,0.75,13264.49
2012-07-01,0.5,69447,1.4,8.2,0.75,12871.39
2012-10-01,0.5,69440,2.2,7.8,0.75,13515.11
2013-01-01,3.6,69433,1.6,8.0,0.75,13412.55
2013-04-01,0.5,70067,1.1,7.6,0.75,14572.85
2013-07-01,3.2,70701,2.0,7.3,0.75,14974.96
2013-10-01,3.2,71335,1.0,7.2,0.75,15191.7
2014-01-01,-1.1,71970,1.6,6.6,0.75,16441.35
2014-04-01,5.5,71984,2.0,6.2,0.75,16532.61
2014-07-01,5.0,71998,2.0,6.2,0.75,16956.07
2014-10-01,2.3,72012,1.7,5.7,0.75,16804.71
2015-01-01,3.8,72027,-0.1,5.7,0.75,17832.99
2015-04-01,2.7,73092,-0.2,5.4,0.75,17698.18
2015-07-01,1.5,74158,0.2,5.2,0.75,17757.91
2015-10-01,0.6,75224,0.2,5.0,0.75,16272.01
2016-01-01,2.3,76290,1.4,4.8,1.0,17148.94
2016-04-01,1.3,76582,1.1,5.1,1.0,17792.75
2016-07-01,2.2,76874,0.8,4.8,1.0,17949.37
2016-10-01,2.5,77166,1.6,4.9,1.0,18253.85
2017-01-01,2.3,77459,2.5,4.7,1.25,19881.76
2017-04-01,1.7,77945,2.2,4.5,1.5,20650.21
2017-07-01,2.9,78431,1.7,4.3,1.75,21479.27
2017-10-01,3.9,78917,2.0,4.1,1.75,22557.6
2018-01-01,3.8,79404,2.1,4.0,2.0,24824.01
2018-04-01,2.7,79570,2.5,4.0,2.25,23644.19
2018-07-01,2.1,79737,2.9,3.8,2.5,24307.18
2018-10-01,1.3,79904,2.5,3.8,2.75,26651.21
2019-01-01,2.9,80071,1.6,4.0,3.0,23346.24
2019-04-01,1.5,81556,2.0,3.7,3.0,26258.42
2019-07-01,2.6,83041,1.8,3.6,3.0,26717.43
2019-10-01,2.4,84526,1.8,3.6,2.25,26573.04
