DATE,MEFAINUSA672N
1/1/1953,35650
1/1/1954,34710
1/1/1955,36964
1/1/1956,39380
1/1/1957,39612
1/1/1958,39490
1/1/1959,41708
1/1/1960,42574
1/1/1961,43012
1/1/1962,44229
1/1/1963,45773
1/1/1964,47471
1/1/1965,49514
1/1/1966,52129
1/1/1967,53240
1/1/1968,55745
1/1/1969,58317
1/1/1970,58137
1/1/1971,58056
1/1/1972,60920
1/1/1973,62153
1/1/1974,60493
1/1/1975,59438
1/1/1976,61281
1/1/1977,61693
1/1/1978,63616
1/1/1979,64519
1/1/1980,62275
1/1/1981,60597
1/1/1982,59814
1/1/1983,60171
1/1/1984,62122
1/1/1985,63019
1/1/1986,65783
1/1/1987,66859
1/1/1988,67072
1/1/1989,68299
1/1/1990,67258
1/1/1991,65973
1/1/1992,65508
1/1/1993,64571
1/1/1994,66370
1/1/1995,67865
1/1/1996,68854
1/1/1997,71011
1/1/1998,73472
1/1/1999,75163
1/1/2000,75526
1/1/2001,74413
1/1/2002,73647
1/1/2003,73405
1/1/2004,73348
1/1/2005,73744
1/1/2006,74241
1/1/2007,75838
1/1/2008,73230
1/1/2009,71774
1/1/2010,70783
1/1/2011,69461
1/1/2012,69433
1/1/2013,71970
1/1/2014,72027
1/1/2015,76290
1/1/2016,77459
1/1/2017,79404
1/1/2018,80071
1/1/2019,86011
